Region Code,Region,UN Regional Group,Country,ISO3,Disease,Disease Key,Priority Band,WHO Risk,WHO Risk Scope,CDC Level,Sources,Source Count,Latest Report Date,Evidence,Source URLs,Colour,DREF Status,Presentation Rank,Selection Basis
4,MENA,Western Asia,Yemen,YEM,Malaria,Malaria,C,,,2,CDC THN,1,2026-06-11,CDC Level 2 current Travel Health Notice.,https://wwwnc.cdc.gov/travel/notices/level2/malaria-yemen,Orange,DREF uncertain/probable,1.0,Next eligible WHO/CDC priority band
0,Africa,Eastern Africa,Mauritius,MUS,Chikungunya,Chikungunya,C,,,2,CDC THN,1,2026-05-14,CDC Level 2 current Travel Health Notice.,https://wwwnc.cdc.gov/travel/notices/level2/chikungunya-mauritius,Not shortlisted,,,
0,Africa,Middle Africa,Democratic Republic of Congo,COD,Meningococcal Disease,Meningococcal,C,,,2,CDC THN,1,2026-03-24,CDC Level 2 current Travel Health Notice.,https://wwwnc.cdc.gov/travel/notices/level2/meningococcal-drc,Red,DREF highly probable,1.0,WHO Very High and/or CDC Level 4
1,Americas,South America,Venezuela,VEN,Yellow Fever,Yellow Fever,C,,,2,CDC THN,1,2026-03-16,CDC Level 2 current Travel Health Notice.,https://wwwnc.cdc.gov/travel/notices/level2/yellow-fever-venezuela,Orange,DREF uncertain/probable,1.0,Next eligible WHO/CDC priority band
1,Americas,South America,Suriname,SUR,Chikungunya,Chikungunya,C,,,2,CDC THN,1,2026-02-17,CDC Level 2 current Travel Health Notice.,https://wwwnc.cdc.gov/travel/notices/level2/chikungunya-suriname,Orange,DREF uncertain/probable,2.0,Next eligible WHO/CDC priority band
1,Americas,South America,Bolivia,BOL,Chikungunya,Chikungunya,C,,,2,CDC THN,1,2026-02-11,CDC Level 2 current Travel Health Notice.,https://wwwnc.cdc.gov/travel/notices/level2/chikungunya-bolivia,Not shortlisted,,,
0,Africa,Eastern Africa,Seychelles,SYC,Chikungunya,Chikungunya,C,,,2,CDC THN,1,2026-02-05,CDC Level 2 current Travel Health Notice.,https://wwwnc.cdc.gov/travel/notices/level2/chikungunya-seychelles,Not shortlisted,,,
1,Americas,South America,Colombia,COL,Yellow Fever,Yellow Fever,C,,,2,CDC THN,1,2025-09-02,CDC Level 2 current Travel Health Notice.,https://wwwnc.cdc.gov/travel/notices/level2/yellow-fever-colombia,Not shortlisted,,,
0,Africa,Middle Africa,Democratic Republic of the Congo,COD,Ebola disease caused by Bundibugyo virus,Ebola,A,Very High,Country-specific,,WHO DON,1,2026-07-03,"The risk in the Democratic Republic of the Congo remains assessed as very high due to ongoing transmission and the continued expansion of the outbreak into new health zones, increasing the potential for further national and regional spread. Status: Latest WHO report contains no explicit closure statement.",https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON612,Red,DREF highly probable,1.0,WHO Very High and/or CDC Level 4
0,Africa,Eastern Africa,Uganda,UGA,Ebola disease caused by Bundibugyo virus,Ebola,B,High,Country-specific,,WHO DON,1,2026-07-03,"The risk in Uganda is assessed as high due to confirmed cross-border spread through imported cases and ongoing epidemiological links along the eastern Democratic Republic of the Congo–western Uganda corridor, historically affected by Ebola outbreaks, including Bundibugyo and Sudan virus disease outbreaks. Status: Latest WHO report contains no explicit closure statement.",https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON612,Orange,DREF uncertain/probable,1.0,Next eligible WHO/CDC priority band
2,Asia-Pacific,Southern Asia,India,IND,Nipah virus disease - India,Nipah,C,Moderate,Sub-national,,WHO DON,1,2026-06-25,"There is an ongoing moderate sub-national risk, driven by recurrent zoonotic spillover, limited clinical specificity during the early stages of disease, and the absence of licensed vaccines or specific therapeutics, with potential for transmission among close contacts and in healthcare settings. Status: Latest WHO report contains no explicit closure statement.",https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON609,Orange,DREF uncertain/probable,1.0,Next eligible WHO/CDC priority band
2,Asia-Pacific,Southern Asia,Bangladesh,BGD,Measles,Measles,B,High,National,,WHO DON,1,2026-04-23,"The risk at the national level is assessed as high due to ongoing transmission across multiple divisions, the large number of susceptible children, documented immunity gaps, and the occurrence of suspected measles-related deaths. Status: Latest WHO report contains no explicit closure statement.",https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON598,Red,DREF highly probable,1.0,WHO High and/or CDC Level 3 (no Band A country)
