Region Code,Region,Group,Country,ISO3,Hazard,Hazard Label,Source,Peak Score,Peak Month,Risk Category,Months in Risk Category,High or Very High Months,November,December,January,UN Subregion,UN Intermediate Region,UN Regional Group
0,Africa,Drought/Wildfire,Somalia,SOM,DR,Drought,INFORM risk-score API,10.0,November,Very High,3,3,10.0,9.7,8.8,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Zimbabwe,ZWE,DR,Drought,INFORM risk-score API,9.0,December,Very High,3,3,7.0,9.0,7.7,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,South Africa,ZAF,DR,Drought,INFORM risk-score API,8.8,November,Very High,3,3,8.8,8.7,8.2,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,Namibia,NAM,DR,Drought,INFORM risk-score API,8.5,January,Very High,3,3,7.3,8.4,8.5,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,Mozambique,MOZ,DR,Drought,INFORM risk-score API,7.6,December,Very High,2,3,6.5,7.6,6.9,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Botswana,BWA,DR,Drought,INFORM risk-score API,6.5,December,High,3,3,5.1,6.5,5.7,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,Sudan,SDN,DR,Drought,INFORM risk-score API,6.2,November,High,1,1,6.2,5.0,4.6,Northern Africa,,Northern Africa
0,Africa,Drought/Wildfire,Kenya,KEN,DR,Drought,INFORM risk-score API,6.1,November,High,3,3,6.1,6.1,6.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Malawi,MWI,DR,Drought,INFORM risk-score API,5.9,December,High,2,2,4.5,5.9,5.7,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Eritrea,ERI,DR,Drought,INFORM risk-score API,5.7,November,High,1,1,5.7,4.6,4.7,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Niger,NER,DR,Drought,INFORM risk-score API,5.6,November,High,2,2,5.6,5.1,4.7,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Mauritania,MRT,DR,Drought,INFORM risk-score API,5.4,November,High,1,1,5.4,4.2,4.2,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Lesotho,LSO,DR,Drought,INFORM risk-score API,5.2,November,High,1,1,5.2,5.0,5.0,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,Senegal,SEN,DR,Drought,INFORM risk-score API,5.0,November,Medium,1,0,5.0,3.4,2.5,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Ethiopia,ETH,DR,Drought,INFORM risk-score API,4.9,November,Medium,3,0,4.9,4.8,4.8,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,"Tanzania, United Republic of",TZA,DR,Drought,INFORM risk-score API,4.9,December,Medium,3,0,4.8,4.9,4.7,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Madagascar,MDG,DR,Drought,INFORM risk-score API,4.4,December,Medium,3,0,4.2,4.4,4.3,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Rwanda,RWA,DR,Drought,INFORM risk-score API,4.3,November,Medium,1,0,4.3,3.4,3.4,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Angola,AGO,DR,Drought,INFORM risk-score API,4.2,November,Medium,3,0,4.2,4.2,4.1,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Burundi,BDI,DR,Drought,INFORM risk-score API,4.2,November,Medium,2,0,4.2,3.8,3.4,Sub-Saharan Africa,Eastern Africa,Eastern Africa
