Region Code,Region,Group,Country,ISO3,Hazard,Hazard Label,Source,Peak Score,Peak Month,Risk Category,Months in Risk Category,High or Very High Months,March,April,May,UN Subregion,UN Intermediate Region,UN Regional Group
0,Africa,Drought/Wildfire,Somalia,SOM,DR,Drought,INFORM risk-score API,9.7,May,Very High,2,3,5.6,7.9,9.7,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,South Africa,ZAF,DR,Drought,INFORM risk-score API,7.4,March,Very High,3,3,7.4,7.1,7.0,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,Kenya,KEN,DR,Drought,INFORM risk-score API,7.0,April,Very High,1,3,5.9,7.0,6.2,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Namibia,NAM,DR,Drought,INFORM risk-score API,6.6,March,Very High,1,3,6.6,5.3,5.4,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,Zimbabwe,ZWE,DR,Drought,INFORM risk-score API,6.5,May,High,3,3,6.2,6.4,6.5,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Botswana,BWA,DR,Drought,INFORM risk-score API,6.2,March,High,3,3,6.2,5.6,5.7,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,Ethiopia,ETH,DR,Drought,INFORM risk-score API,5.7,May,High,2,2,5.0,5.5,5.7,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Mozambique,MOZ,DR,Drought,INFORM risk-score API,5.4,March,High,2,2,5.4,5.1,5.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Uganda,UGA,DR,Drought,INFORM risk-score API,5.2,April,High,2,2,5.1,5.2,4.5,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Burkina Faso,BFA,DR,Drought,INFORM risk-score API,4.9,May,Medium,3,0,3.9,4.2,4.9,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Malawi,MWI,DR,Drought,INFORM risk-score API,4.8,March,Medium,3,0,4.8,4.5,4.4,Sub-Saharan Africa,Eastern Africa,Eastern Africa
