Region Code,Region,Group,Country,ISO3,Hazard,Hazard Label,Source,Peak Score,Peak Month,Risk Category,Months in Risk Category,High or Very High Months,May,June,July,UN Subregion,UN Intermediate Region,UN Regional Group
0,Africa,Drought/Wildfire,Somalia,SOM,DR,Drought,INFORM risk-score API,9.9,June,Very High,3,3,9.7,9.9,8.5,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Eritrea,ERI,DR,Drought,INFORM risk-score API,8.1,July,Very High,1,1,3.3,3.8,8.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Mauritania,MRT,DR,Drought,INFORM risk-score API,7.9,July,Very High,1,1,4.2,4.2,7.9,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,South Africa,ZAF,DR,Drought,INFORM risk-score API,7.0,May,Very High,1,2,7.0,6.1,4.9,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,Senegal,SEN,DR,Drought,INFORM risk-score API,6.6,July,Very High,1,1,2.9,3.9,6.6,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Zimbabwe,ZWE,DR,Drought,INFORM risk-score API,6.5,May,High,2,2,6.5,5.7,4.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Niger,NER,DR,Drought,INFORM risk-score API,6.3,July,High,1,1,4.7,4.9,6.3,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Kenya,KEN,DR,Drought,INFORM risk-score API,6.2,May,High,3,3,6.2,5.9,5.7,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Burkina Faso,BFA,DR,Drought,INFORM risk-score API,5.8,July,High,2,2,4.9,5.4,5.8,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Ethiopia,ETH,DR,Drought,INFORM risk-score API,5.7,May,High,3,3,5.7,5.7,5.5,Sub-Saharan Africa,Eastern Africa,Eastern Africa
