Region Code,Region,Group,Country,ISO3,Hazard,Hazard Label,Source,Peak Score,Peak Month,Risk Category,Months in Risk Category,High or Very High Months,June,July,August,UN Subregion,UN Intermediate Region,UN Regional Group
0,Africa,Drought/Wildfire,Somalia,SOM,DR,Drought,INFORM risk-score API,9.9,June,Very High,3,3,9.9,8.5,7.9,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Mauritania,MRT,DR,Drought,INFORM risk-score API,9.2,August,Very High,2,2,4.2,7.9,9.2,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Eritrea,ERI,DR,Drought,INFORM risk-score API,8.3,August,Very High,2,2,3.8,8.1,8.3,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Senegal,SEN,DR,Drought,INFORM risk-score API,7.5,August,Very High,2,2,3.9,6.6,7.5,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Niger,NER,DR,Drought,INFORM risk-score API,6.7,August,Very High,1,2,4.9,6.3,6.7,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Sudan,SDN,DR,Drought,INFORM risk-score API,6.4,August,High,2,2,4.4,5.5,6.4,Northern Africa,,Northern Africa
0,Africa,Drought/Wildfire,South Africa,ZAF,DR,Drought,INFORM risk-score API,6.1,June,High,1,1,6.1,4.9,4.7,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,Kenya,KEN,DR,Drought,INFORM risk-score API,5.9,June,High,3,3,5.9,5.7,5.5,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Burkina Faso,BFA,DR,Drought,INFORM risk-score API,5.8,July,High,3,3,5.4,5.8,5.8,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Ethiopia,ETH,DR,Drought,INFORM risk-score API,5.7,June,High,3,3,5.7,5.5,5.3,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Zimbabwe,ZWE,DR,Drought,INFORM risk-score API,5.7,June,High,1,1,5.7,4.0,4.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Chad,TCD,DR,Drought,INFORM risk-score API,5.6,July,High,3,3,5.2,5.6,5.1,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Mali,MLI,DR,Drought,INFORM risk-score API,5.0,July,Medium,3,0,4.5,5.0,4.6,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Mozambique,MOZ,DR,Drought,INFORM risk-score API,4.9,June,Medium,3,0,4.9,4.7,4.6,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Malawi,MWI,DR,Drought,INFORM risk-score API,4.4,June,Medium,3,0,4.4,4.4,4.4,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Namibia,NAM,DR,Drought,INFORM risk-score API,4.3,June,Medium,3,0,4.3,3.9,3.9,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,"Tanzania, United Republic of",TZA,DR,Drought,INFORM risk-score API,4.2,June,Medium,3,0,4.2,4.1,3.9,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Uganda,UGA,DR,Drought,INFORM risk-score API,4.2,August,Medium,3,0,4.1,4.0,4.2,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Djibouti,DJI,DR,Drought,INFORM risk-score API,4.1,June,Medium,3,0,4.1,4.1,4.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Madagascar,MDG,DR,Drought,INFORM risk-score API,4.0,June,Medium,3,0,4.0,4.0,4.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Angola,AGO,DR,Drought,INFORM risk-score API,3.9,June,Medium,3,0,3.9,3.8,3.7,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Lesotho,LSO,DR,Drought,INFORM risk-score API,3.9,June,Medium,3,0,3.9,3.7,3.7,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,"Eswatini, Kingdom of",SWZ,DR,Drought,INFORM risk-score API,3.7,June,Medium,3,0,3.7,3.7,3.7,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,South Sudan,SSD,DR,Drought,INFORM risk-score API,3.7,June,Medium,2,0,3.7,3.6,3.2,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Botswana,BWA,DR,Drought,INFORM risk-score API,3.4,June,Low,1,0,3.4,1.5,1.5,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,Burundi,BDI,DR,Drought,INFORM risk-score API,3.4,June,Low,3,0,3.4,3.4,3.4,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,"Gambia, Republic of The",GMB,DR,Drought,INFORM risk-score API,3.2,August,Low,3,0,2.6,3.1,3.2,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Rwanda,RWA,DR,Drought,INFORM risk-score API,3.1,June,Low,3,0,3.1,3.1,3.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Cameroon,CMR,DR,Drought,INFORM risk-score API,3.0,June,Low,3,0,3.0,2.7,2.6,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Zambia,ZMB,DR,Drought,INFORM risk-score API,2.8,June,Low,3,0,2.8,2.8,2.8,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Guinea-Bissau,GNB,DR,Drought,INFORM risk-score API,2.0,June,Very Low,3,0,2.0,2.0,1.6,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Togo,TGO,DR,Drought,INFORM risk-score API,1.9,June,Very Low,3,0,1.9,1.8,1.9,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Democratic Republic of Congo,COD,DR,Drought,INFORM risk-score API,1.7,August,Very Low,3,0,1.4,1.4,1.7,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Cabo Verde,CPV,DR,Drought,INFORM risk-score API,1.6,June,Very Low,3,0,1.6,1.6,1.6,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Gabon,GAB,DR,Drought,INFORM risk-score API,0.9,June,Very Low,3,0,0.9,0.9,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Guinea,GIN,DR,Drought,INFORM risk-score API,0.8,June,Very Low,3,0,0.8,0.6,0.4,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Ghana,GHA,DR,Drought,INFORM risk-score API,0.6,June,Very Low,3,0,0.6,0.5,0.4,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Côte d'Ivoire,CIV,DR,Drought,INFORM risk-score API,0.4,August,Very Low,3,0,0.2,0.1,0.4,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Nigeria,NGA,DR,Drought,INFORM risk-score API,0.4,June,Very Low,3,0,0.4,0.4,0.4,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Congo,COG,DR,Drought,INFORM risk-score API,0.3,June,Very Low,3,0,0.3,0.3,0.2,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Mauritius,MUS,DR,Drought,INFORM risk-score API,0.3,June,Very Low,3,0,0.3,0.3,0.3,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Benin,BEN,DR,Drought,INFORM risk-score API,0.2,June,Very Low,3,0,0.2,0.2,0.1,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Central African Republic,CAF,DR,Drought,INFORM risk-score API,0.1,June,Very Low,3,0,0.1,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
