Region Code,Region,Group,Country,ISO3,Hazard,Hazard Label,Source,Peak Score,Peak Month,Risk Category,Months in Risk Category,High or Very High Months,July,August,September,UN Subregion,UN Intermediate Region,UN Regional Group
0,Africa,Drought/Wildfire,Mauritania,MRT,DR,Drought,INFORM risk-score API,9.2,August,Very High,3,3,7.9,9.2,7.6,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Somalia,SOM,DR,Drought,INFORM risk-score API,8.5,July,Very High,2,3,8.5,7.9,6.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Eritrea,ERI,DR,Drought,INFORM risk-score API,8.3,August,Very High,3,3,8.1,8.3,7.6,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Senegal,SEN,DR,Drought,INFORM risk-score API,7.5,August,Very High,3,3,6.6,7.5,6.7,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Sudan,SDN,DR,Drought,INFORM risk-score API,6.9,September,Very High,1,3,5.5,6.4,6.9,Northern Africa,,Northern Africa
0,Africa,Drought/Wildfire,Niger,NER,DR,Drought,INFORM risk-score API,6.7,August,Very High,1,3,6.3,6.7,6.5,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Burkina Faso,BFA,DR,Drought,INFORM risk-score API,5.8,July,High,2,2,5.8,5.8,5.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Kenya,KEN,DR,Drought,INFORM risk-score API,5.7,July,High,3,3,5.7,5.5,5.4,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Chad,TCD,DR,Drought,INFORM risk-score API,5.6,July,High,2,2,5.6,5.1,4.5,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Ethiopia,ETH,DR,Drought,INFORM risk-score API,5.5,July,High,2,2,5.5,5.3,5.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,South Africa,ZAF,DR,Drought,INFORM risk-score API,5.3,September,High,1,1,4.9,4.7,5.3,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,Mali,MLI,DR,Drought,INFORM risk-score API,5.0,July,Medium,3,0,5.0,4.6,3.9,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Mozambique,MOZ,DR,Drought,INFORM risk-score API,4.7,July,Medium,3,0,4.7,4.6,4.6,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Uganda,UGA,DR,Drought,INFORM risk-score API,4.6,September,Medium,3,0,4.0,4.2,4.6,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Malawi,MWI,DR,Drought,INFORM risk-score API,4.4,July,Medium,3,0,4.4,4.4,4.4,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Djibouti,DJI,DR,Drought,INFORM risk-score API,4.1,July,Medium,3,0,4.1,4.1,4.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,"Tanzania, United Republic of",TZA,DR,Drought,INFORM risk-score API,4.1,July,Medium,3,0,4.1,3.9,4.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
