ISO3,UN Subregion,UN Intermediate Region
ABW,Latin America and the Caribbean,Caribbean
AFG,Southern Asia,
AGO,Sub-Saharan Africa,Middle Africa
AIA,Latin America and the Caribbean,Caribbean
ALA,Northern Europe,
ALB,Southern Europe,
AND,Southern Europe,
ARE,Western Asia,
ARG,Latin America and the Caribbean,South America
ARM,Western Asia,
ASM,Polynesia,
ATA,,
ATF,Sub-Saharan Africa,Eastern Africa
ATG,Latin America and the Caribbean,Caribbean
AUS,Australia and New Zealand,
AUT,Western Europe,
AZE,Western Asia,
BDI,Sub-Saharan Africa,Eastern Africa
BEL,Western Europe,
BEN,Sub-Saharan Africa,Western Africa
BES,Latin America and the Caribbean,Caribbean
BFA,Sub-Saharan Africa,Western Africa
BGD,Southern Asia,
BGR,Eastern Europe,
BHR,Western Asia,
BHS,Latin America and the Caribbean,Caribbean
BIH,Southern Europe,
BLM,Latin America and the Caribbean,Caribbean
BLR,Eastern Europe,
BLZ,Latin America and the Caribbean,Central America
BMU,Northern America,
BOL,Latin America and the Caribbean,South America
BRA,Latin America and the Caribbean,South America
BRB,Latin America and the Caribbean,Caribbean
BRN,South-eastern Asia,
BTN,Southern Asia,
BVT,Latin America and the Caribbean,South America
BWA,Sub-Saharan Africa,Southern Africa
CAF,Sub-Saharan Africa,Middle Africa
CAN,Northern America,
CCK,Australia and New Zealand,
CHE,Western Europe,
CHL,Latin America and the Caribbean,South America
CHN,Eastern Asia,
CIV,Sub-Saharan Africa,Western Africa
CMR,Sub-Saharan Africa,Middle Africa
COD,Sub-Saharan Africa,Middle Africa
COG,Sub-Saharan Africa,Middle Africa
COK,Polynesia,
COL,Latin America and the Caribbean,South America
COM,Sub-Saharan Africa,Eastern Africa
CPV,Sub-Saharan Africa,Western Africa
CRI,Latin America and the Caribbean,Central America
CUB,Latin America and the Caribbean,Caribbean
CUW,Latin America and the Caribbean,Caribbean
CXR,Australia and New Zealand,
CYM,Latin America and the Caribbean,Caribbean
CYP,Western Asia,
CZE,Eastern Europe,
DEU,Western Europe,
DJI,Sub-Saharan Africa,Eastern Africa
DMA,Latin America and the Caribbean,Caribbean
DNK,Northern Europe,
DOM,Latin America and the Caribbean,Caribbean
DZA,Northern Africa,
ECU,Latin America and the Caribbean,South America
EGY,Northern Africa,
ERI,Sub-Saharan Africa,Eastern Africa
ESH,Northern Africa,
ESP,Southern Europe,
EST,Northern Europe,
ETH,Sub-Saharan Africa,Eastern Africa
FIN,Northern Europe,
FJI,Melanesia,
FLK,Latin America and the Caribbean,South America
FRA,Western Europe,
FRO,Northern Europe,
FSM,Micronesia,
GAB,Sub-Saharan Africa,Middle Africa
GBR,Northern Europe,
GEO,Western Asia,
GGY,Northern Europe,
GHA,Sub-Saharan Africa,Western Africa
GIB,Southern Europe,
GIN,Sub-Saharan Africa,Western Africa
GLP,Latin America and the Caribbean,Caribbean
GMB,Sub-Saharan Africa,Western Africa
GNB,Sub-Saharan Africa,Western Africa
GNQ,Sub-Saharan Africa,Middle Africa
GRC,Southern Europe,
GRD,Latin America and the Caribbean,Caribbean
GRL,Northern America,
GTM,Latin America and the Caribbean,Central America
GUF,Latin America and the Caribbean,South America
GUM,Micronesia,
GUY,Latin America and the Caribbean,South America
HKG,Eastern Asia,
HMD,Australia and New Zealand,
HND,Latin America and the Caribbean,Central America
HRV,Southern Europe,
HTI,Latin America and the Caribbean,Caribbean
HUN,Eastern Europe,
IDN,South-eastern Asia,
IMN,Northern Europe,
IND,Southern Asia,
IOT,Sub-Saharan Africa,Eastern Africa
IRL,Northern Europe,
IRN,Southern Asia,
IRQ,Western Asia,
ISL,Northern Europe,
ISR,Western Asia,
ITA,Southern Europe,
JAM,Latin America and the Caribbean,Caribbean
JEY,Northern Europe,
JOR,Western Asia,
JPN,Eastern Asia,
KAZ,Central Asia,
KEN,Sub-Saharan Africa,Eastern Africa
KGZ,Central Asia,
KHM,South-eastern Asia,
KIR,Micronesia,
KNA,Latin America and the Caribbean,Caribbean
KOR,Eastern Asia,
KWT,Western Asia,
LAO,South-eastern Asia,
LBN,Western Asia,
LBR,Sub-Saharan Africa,Western Africa
LBY,Northern Africa,
LCA,Latin America and the Caribbean,Caribbean
LIE,Western Europe,
LKA,Southern Asia,
LSO,Sub-Saharan Africa,Southern Africa
LTU,Northern Europe,
LUX,Western Europe,
LVA,Northern Europe,
MAC,Eastern Asia,
MAF,Latin America and the Caribbean,Caribbean
MAR,Northern Africa,
MCO,Western Europe,
MDA,Eastern Europe,
MDG,Sub-Saharan Africa,Eastern Africa
MDV,Southern Asia,
MEX,Latin America and the Caribbean,Central America
MHL,Micronesia,
MKD,Southern Europe,
MLI,Sub-Saharan Africa,Western Africa
MLT,Southern Europe,
MMR,South-eastern Asia,
MNE,Southern Europe,
MNG,Eastern Asia,
MNP,Micronesia,
MOZ,Sub-Saharan Africa,Eastern Africa
MRT,Sub-Saharan Africa,Western Africa
MSR,Latin America and the Caribbean,Caribbean
MTQ,Latin America and the Caribbean,Caribbean
MUS,Sub-Saharan Africa,Eastern Africa
MWI,Sub-Saharan Africa,Eastern Africa
MYS,South-eastern Asia,
MYT,Sub-Saharan Africa,Eastern Africa
NAM,Sub-Saharan Africa,Southern Africa
NCL,Melanesia,
NER,Sub-Saharan Africa,Western Africa
NFK,Australia and New Zealand,
NGA,Sub-Saharan Africa,Western Africa
NIC,Latin America and the Caribbean,Central America
NIU,Polynesia,
NLD,Western Europe,
NOR,Northern Europe,
NPL,Southern Asia,
NRU,Micronesia,
NZL,Australia and New Zealand,
OMN,Western Asia,
PAK,Southern Asia,
PAN,Latin America and the Caribbean,Central America
PCN,Polynesia,
PER,Latin America and the Caribbean,South America
PHL,South-eastern Asia,
PLW,Micronesia,
PNG,Melanesia,
POL,Eastern Europe,
PRI,Latin America and the Caribbean,Caribbean
PRK,Eastern Asia,
PRT,Southern Europe,
PRY,Latin America and the Caribbean,South America
PSE,Western Asia,
PYF,Polynesia,
QAT,Western Asia,
REU,Sub-Saharan Africa,Eastern Africa
ROU,Eastern Europe,
RUS,Eastern Europe,
RWA,Sub-Saharan Africa,Eastern Africa
SAU,Western Asia,
SDN,Northern Africa,
SEN,Sub-Saharan Africa,Western Africa
SGP,South-eastern Asia,
SGS,Latin America and the Caribbean,South America
SHN,Sub-Saharan Africa,Western Africa
SJM,Northern Europe,
SLB,Melanesia,
SLE,Sub-Saharan Africa,Western Africa
SLV,Latin America and the Caribbean,Central America
SMR,Southern Europe,
SOM,Sub-Saharan Africa,Eastern Africa
SPM,Northern America,
SRB,Southern Europe,
SSD,Sub-Saharan Africa,Eastern Africa
STP,Sub-Saharan Africa,Middle Africa
SUR,Latin America and the Caribbean,South America
SVK,Eastern Europe,
SVN,Southern Europe,
SWE,Northern Europe,
SWZ,Sub-Saharan Africa,Southern Africa
SXM,Latin America and the Caribbean,Caribbean
SYC,Sub-Saharan Africa,Eastern Africa
SYR,Western Asia,
TCA,Latin America and the Caribbean,Caribbean
TCD,Sub-Saharan Africa,Middle Africa
TGO,Sub-Saharan Africa,Western Africa
THA,South-eastern Asia,
TJK,Central Asia,
TKL,Polynesia,
TKM,Central Asia,
TLS,South-eastern Asia,
TON,Polynesia,
TTO,Latin America and the Caribbean,Caribbean
TUN,Northern Africa,
TUR,Western Asia,
TUV,Polynesia,
TZA,Sub-Saharan Africa,Eastern Africa
UGA,Sub-Saharan Africa,Eastern Africa
UKR,Eastern Europe,
UMI,Micronesia,
URY,Latin America and the Caribbean,South America
USA,Northern America,
UZB,Central Asia,
VAT,Southern Europe,
VCT,Latin America and the Caribbean,Caribbean
VEN,Latin America and the Caribbean,South America
VGB,Latin America and the Caribbean,Caribbean
VIR,Latin America and the Caribbean,Caribbean
VNM,South-eastern Asia,
VUT,Melanesia,
WLF,Polynesia,
WSM,Polynesia,
YEM,Western Asia,
ZAF,Sub-Saharan Africa,Southern Africa
ZMB,Sub-Saharan Africa,Eastern Africa
ZWE,Sub-Saharan Africa,Eastern Africa
